Title,Id,Trailer Link,Director,Cast,genre_ids,Genre,Budget,Revenue,Overview,Homepage,Year,Runtime,Popularity,Adult,Release_Date,Original_Title,Original_Language,Tagline,Vote_Average,Vote_Count
Aaghaaz,365763,,Yogesh Ishwar,"['Suniel Shetty', 'Sushmita Sen', 'Namrata Shirodkar', 'Suman Ranganathan', 'Anupam Kher', 'Gulshan Grover', 'Asrani']",,,0,0,"After putting together his life once again from a traumatic experience in his past; Govind Narang accompanied by his sister Rattna comes to reside in Azad Nagar, Bombay. He cannot stand injustice in any shape and form; this brings him into enmity with a gangster Johnny and his younger brother Danny Handsome. Obstructed by the interference into their criminal activities Johnny and his gang brutally beats up Govind leaving him to die and sexually molest Rattna in broad-daylight.",,2000,0,1.247,False,2000-10-06,Aaghaaz,hi,,1.333,3
Aaj Ka Ravan,272287,,Imran Khalid,"['Mithun Chakraborty', 'Gajendra Chouhan']",,,0,0,A series of unfortunate events plague journalist Shanti after a fellow journalist is shot to death on her doorstep,,2000,125,0.871,False,2000-09-29,Aaj Ka Ravan,hi,,10.0,1
Anjaane,306132,,,[],,,0,0,Bollywood 2000,,2000,0,0.6,False,2000-01-01,Anjaane,en,,0.0,0
Anokha Moti,948106,,Tapan Sinha,"['Arjun Chakraborty', 'Masood Akhtar', 'Nayab Aftab', 'Radhika Jajodia']",,,0,0,Incomplete Tapan Sinha Film,,,0,0.6,False,,Anokha Moti,hi,,0.0,0
Apradhi Kaun?,413278,,Asit Sen,"['Abhi Bhattacharya', 'Mala Sinha', 'Gajanan Jagirdar', 'Paul Mahendra', 'Dhumal']",,"Thriller, Mystery, Drama",0,0,"A wealthy man, suspected of murder, is killed before he can be arrested. Everyone in his household is under suspicion. A private investigator looks into the case and finds himself falling in love with one of the suspects.",,1957,131,0.912,False,1957-08-16,अपराधी कौन?,hi,,8.0,1
Astitva,97356,,Mahesh Manjrekar,"['Tabu', 'Sachin Khedekar', 'Ravindra Mankani', 'Smita Jaykar', 'Mohnish Behl', 'Sunil Barve', 'Namrata Shirodkar', 'Kishore Nandlaskar']",,,0,0,"Astitva is a bold film with adultery. An ambitious male chauvinist and his loving wife are happily married but the guy is not able to give time to the family as he want to make it big in life. His work is of paramount importance to him. His work keeps him away from his home for days and this makes the wife very lonely. In one such instance, she succumbs to loneliness and has a physical relationship with her music teacher and becomes pregnant. She tries confessing to her husband, but he is so excited about her pregnancy, that he does not listen to her story. Twenty Five years later, circumstances force the suspicious husband's mind to work overtime and confronts his wife with facts and figures that when she was pregnant, he had not had any physical relationship with her for more than 9 months before the child's birth. Then whose child is it? The wife accepts it and ask for forgiveness...",,2000,109,1.61,False,2000-10-06,अस्तित्व,hi,Is a Woman's Destiny... A Man,5.9,5
Baaghi,391629,https://www.youtube.com/watch?v=8HQIKJBUsQk,Sabbir Khan,"['Tiger Shroff', 'Shraddha Kapoor', 'Sunil Grover', 'Sudheer Babu', 'Saurav Chakrabarti', 'Sanjay Mishra', 'Shaurya Bharadwaj', 'Kota Srinivasa Rao', 'Sumit Gulati', 'Ron Smoorenburg', 'Jason Tham', 'Aryan Prajapati']",,"Action, Thriller, Romance",5103000,17377000,"Ronny is a rebellious man, who falls in love with Sia but circumstances separate them. Years later, Ronny learns that Sia is abducted by a martial arts champion, Raghav.",,2016,133,12.704,False,2016-04-29,बाघी,hi,Be a Rebel,6.5,97
Badal,302443,,,"['Sheikh Mukhtar', 'Sanjeev Kumar', 'L. Vijayalakshmi', 'Helen', 'Shammi', 'Ratnamala']",,,0,0,"1966 film starring Sanjeev Kumar, L. Vijayalakshmi and Sheikh Mukhtar",,1966,0,0.6,False,1966-01-01,Badal,en,,0.0,0
My Little Devil,239582,,Gopi Desai,[],,"Drama, Family",0,0,,,1999,87,0.621,False,1999-11-25,Bas Yaari Rakho,hi,,5.0,1
Bawandar,80064,,,"['Nandita Das', 'Raghubir Yadav', 'Deepti Naval', 'Rahul Khanna', 'Laila Rouass', 'Govind Namdeo']",,,0,0,"Shoba T. Mathur works for the Central Government in India and her job is to create awareness against child-marriage and other social evils that prevail due to general misinterpretation of the Hindu Shastras that demean women, particularly in Dhabri, a village in the state of Rajasthan. She does succeed in recruiting a young housewife, Saanvri, the mother of a young girl, Kamli, and wife of rickshaw driver, Sohan. Saanvri goes around the village raising awareness, and incurs the wrath of the village elders, mostly members of the Gujjar family.",,2000,0,0.983,False,2000-11-17,Bawandar,hi,,6.0,3
Beti No. 1,271484,,Rama Rao Tatineni,"['Govinda', 'Rambha', 'Aruna Irani', 'Prem Chopra', 'Laxmikant Berde', 'Ashok Saraf', 'Johnny Lever', 'Guddi Maruti', 'Mohan Joshi', 'Rakesh Bedi']",,"Comedy, Drama, Family, Romance",0,0,"This warmhearted comedy takes place in a household completely dominated by Durga Bhatnagar, an imposing matriarch who's desperate for a grandson and heir.",,2000,142,0.923,False,2000-11-10,Beti No. 1,hi,,3.5,4
