Title,Id,Trailer Link,Director,Cast,genre_ids,Genre,Budget,Revenue,Overview,Homepage,Year,Runtime,Popularity,Adult,Release_Date,Original_Title,Original_Language,Tagline,Vote_Average,Vote_Count
Charda Suraj,911819,,,[],,,0,0,"Suraj (Shawinder Mahal) is the moral backbone of his community. He meets and falls in love with Kiran (Shivani), a reporter sent to Punjab to write about its' agricultural development. He does not know that she is a CID Inspector, investigating the murder of her brother Ram, and that his mother has a secret history with the murderers.",,,0,0.6,False,,Charda Suraj,en,,0.0,0
Nooran,790000,,M. A. Khan Jr.,"['Noor Jehan', 'Azhar Rangeela']",,"Romance, Drama",0,0,"Nooran (Punjabi: نوراں), also spelled Nooraan, is a 1957 Pakistani Punjabi film directed by M. A. Khan, starring Sudhir and Noor Jehan in the lead roles. Renowned poet Hazeen Qadri wrote the lyrics and dialogues for the film.",,1957,134,0.6,False,1957-05-30,Nooran,pa,,0.0,0
Yaar Maar,966283,,,[],,,0,0,"Yaar Maar is a Punjabi action drama movie directed by Yograj Singh and also featuring himself in the lead role. Along with Yograj Singh playing the lead protagonist, the movie also features Neena Sidhu, Simran, Bindu Jhokia, and Suksha Lahoria in other pivotal roles. Released in 1993, the movie was a success at the box office and also received accolades for the story as well as the direction. It went on to become a huge hit at the box office. Watch Yaar Maar Punjabi movie on MX Player to cherish the magic of the legend Yograj Singh on screen.",,1997,0,0.6,False,1997-03-30,Yaar Maar,en,,0.0,0
Badmashiyaan,331302,,Amit Khanna,"['Sidhant Gupta', 'Gunjan Malhotra', 'Suzanna Mukherjee', 'Sharib Hashmi']",,"Comedy, Romance",0,0,"Dev's girlfriend leaves him on the night he was planning to propose to her. Months later, a private investigator is trying to track her down.",,2015,128,0.88,False,2015-03-06,Badmashiyaan,hi,Fun Never Ends,5.0,1
Jagira,1019679,,Kanti Shah,"['Dharmendra', 'Kiran Kumar', 'Pinky Chinoy', 'Danny Denzongpa', 'Shakti Kapoor']",,,0,0,"Jagira, a police officer, is implicated in a false case due to Mahakaal, a dacoit. Later, he escapes from prison and decides to avenge the injustice.",,2001,139,1.091,False,2001-02-16,Jagira,hi,,0.0,0
Mahi Mera Nikka Jeha,1004128,https://www.youtube.com/watch?v=Sblp1MuaoUw,Satinder Singh Dev,"['Jaswinder Bhalla', 'Sukhwinder Chahal', 'Pukhraj Bhalla', 'Hashneen Chauhan', 'Anita Devgan', 'Rajinder Kumar Gagahar', 'Honey Mattu']",,"Comedy, Drama",0,0,"A short boy is in love with a tall girl for which he faces a lot of criticism from her family and friends. Eventually, they marry and he wins everyone's heart with his good character.",,2022,0,1.828,False,2022-06-03,Mahi Mera Nikka Jeha,pa,,6.0,2
Sikandera,664537,,Ravinder Ravi,"['Gugu Gill', 'Priti Sapru Walia', 'Yograj Singh', 'Surinder Shinda', 'Gopi Bhalla', 'Navnit Ravi Rana', 'Kulbir Badesron', 'Darbara Sarpanch', 'Devinder Deep', 'Lovely Nirman', 'Bhagwant Mann', 'Surendra Sharma', 'Deepika Singh']",,Action,0,0,The children of two longtime enemies marry each other.,,2001,157,0.6,False,2001-01-01,Sikandera,pa,,0.0,0
Allah-Rakha,301612,,Ketan Desai,"['Jackie Shroff', 'Shammi Kapoor', 'Waheeda Rehman', 'Dimple Kapadia', 'Meenakshi Seshadri', 'Bindu', 'Anupam Kher', 'Bob Christo', 'Gulshan Grover', 'Goga Kapoor']",,,0,0,"Karim Khan is employed as driver for a gangster named Don, who has an accident with his car, and asks Karim to take the blame for it for a hefty sum of cash, which Karim does so, and is imprisoned. But Don does not fulfill his promise, and as a result, Karim's wife, Razia, and new-born son are left destitute. Razia complains to Police Inspector Anwar, who arrests Don and holds him in prison, pending his trial in court. When Anwar finds out that his new-born son, Iqbal, is in need of a pace-maker, which he is unable to afford, he makes a compromise with Don, who lets him have one. Iqbal undergoes surgery and a pace-maker number 786, considered lucky in Islamic faith, is attached to his tiny heart.",,1986,0,1.522,False,1986-08-07,Allah-Rakha,hi,,0.0,0
Billa II,116185,https://www.youtube.com/watch?v=beOgcOu-vQU,Chakri Toleti,"['Ajith Kumar', 'Parvathy Omanakuttan', 'Bruna Abdullah', 'Prabhu', 'Vidyut Jammwal', 'Manoj K Jayan', 'Ilavarasu', 'Yoge Jappie', 'Rahman', 'Janaki Sabesh', 'Dinesh Lamba', 'Rohit Khurana', 'Sudhanshu Pandey', 'Sricharan', 'Krishna Kumar', 'Nandha Saravanan', 'Gabriela Bertante', 'Daniel Kaleb', 'Theepetti Ganesan', 'Sarath Mandava']",,"Action, Crime",0,0,"Small-time diamond smuggler David befriends Goa-based gangster Abbasi. But when David begins to build inroads with an international gangster, Abbasi is not happy, and soon the two turn into bitter rivals.",,2012,140,2.825,False,2012-07-13,Billa II,ta,"Every man has a past. Every Don, a history.",5.875,28
Diljit Dosanjh MTV Unplugged,589270,,,['Diljit Dosanjh'],,Music,0,0,Diljit Dosanjh Live session for MTV Unplugged,,2019,29,0.601,False,2019-03-24,Diljit Dosanjh MTV Unplugged,en,Diljit Dosanjh MTV Unplugged,0.0,0
Jee Aayan Nu,152512,https://www.youtube.com/watch?v=eJA-TDQq-WE,Manmohan Singh,"['Harbhajan Mann', 'Priya Gill', 'Gurpreet Ghuggi', 'Kimi Verma', 'Navneet Nishan', 'Kanwaljit Singh', 'Vivek Shauq', 'Satinder Satti', 'Chetana Das', 'Gopi Bhalla', 'Deep Dhillon', 'Madam Aman', 'Madam Blossom', 'Davinder Daman', 'Baljeet Zakhmi', 'Gurcharan Tallewalia', 'Baljeet Singh', 'Sarghi', 'Ranjeet', 'Harpal Singh Pali', 'Surinder Balla Kohli', 'Naval Kishore', 'Daljit Kaur']",,"Drama, Romance",170000,400000,"Operating a Television Network from Vancouver, Sardar Jasbir Singh Grewal, arranges the marriage of his only child, Simar, with Mulhapur-based, Inder Veer Singh, the son of his friend, Arjun, much to the chagrin of his snobbish wife, Kuldip. Simar and Inder find themselves compatible, and an engagement ceremony is arranged. It is during this event that they find out that Inder has no intention of re-locating to Canada, and the ceremony is canceled. After sometime, Inder decides to visit the Grewals in order to try and convince Simar to return to India, and also visit his married sister, who he has not seen for over 7 years, as well as a former girlfriend, Jaspreet, who also live in Vancouver. Once there, he witnesses the plight of his sister, Jaspreet, and other Punjabis, making him question whether Canada is really the perceived 'heaven on Earth'; what C.B.C.D. really means; little knowing Simar has no intention of ever settling down in India.",,2002,187,2.294,False,2002-12-02,ਜੀ ਆਇਆਂ ਨੂੰ,pa,,8.0,1
Wehshi Jatt,588492,,,['Sultan Rahi'],,,0,0,,,1975,0,0.6,False,1975-08-08,Wehshi Jatt,pa,,0.0,0
Zindagi Khoobsoorat Hai,767771,,Manoj Punj,"['Gurdas Mann', 'Tabu', 'Ashish Vidhyarthi', 'Rajit Kapoor', 'Divya Dutta']",,"Drama, Family",0,0,"Murad Hussein and Gul Baloch have been enemies for years. Murad would like to propose a truce so that the two families become friends again, and for this occasion he has chosen to marry his brother to Gul's sister. The wedding is arranged and Gul and his family are accordingly invited. Gul does attend the wedding, bless the couple, and when night came, he and his accomplices brutally kill every male in the household, including his very own brother-in-law. Gul's sister loses her sanity, and is taken back home, where he lives with his daughter...",,2002,148,0.6,False,2002-10-04,Zindagi Khoobsoorat Hai,hi,,10.0,1
Sala Budhar Badla,809098,https://www.youtube.com/watch?v=BMsk8jbnV3s,Sabyasachi Mohapatra,"['Atal Bihari Panda', 'Chandana Singh', 'Lochani Bag']",,Drama,0,0,SalaBudha is back again to exact revenge.,,2020,109,0.6,False,2020-01-17,ଶଲା ବୁଢ଼ାର ବଦଲା,or,,0.0,0
Jatt Da Wair,588482,,,"['Sultan Rahi', 'Mustafa Qureshi', 'Chakori', 'Aasia']",,,0,0,,,1981,0,0.6,False,1981-08-28,Jatt Da Wair,pa,,0.0,0
Silent Waters,100086,,Sabiha Sumar,"['Kirron Kher', 'Aamir Ali Malik', 'Arshad Mahmood', 'Salman Shahid', 'Shilpa Shukla', 'Sarfaraz Ansari', 'Qurat-ul-Ain Balouch', 'Ejaz Baig', 'Tasleem Bibi', 'Abid Ali', 'Shazim Ashraf', 'Adnan Shah Tipu']",,"Drama, Music",0,0,"Ayesha is a widow with a secret past, living with her beloved son Saleem in a small town in Pakistan close to the Indian border. When the fires of Islamic nationalism invade their tranquil lives, Saleem and a few of the town's other young men are soon gripped by a religious fervour, and they attempt to bring radical Islamic law to their friends and neighbours. After a group of Sikh pilgrims arrive in town, tensions reach boiling point as Ayesha's haunted past comes rushing back.",,2003,99,1.981,False,2003-08-15,Khamosh Pani: Silent Waters,ur,The Water Stirs,6.4,10
Rowing with the Wind,80047,https://www.youtube.com/watch?v=92U3orszabY,Gonzalo Suárez,"['Hugh Grant', 'Lizzy McInnerny', 'Valentine Pelka', 'Elizabeth Hurley', 'José Luis Gómez', 'Aitana Sánchez-Gijón', 'Bibiana Fernández', 'Virginia Mataix', 'Ronan Vibert', 'José Carlos Rivas', 'Josep Maria Pou', 'Karen Westwood', 'Terence Taplin', 'Jolyon Baker', 'Kate McKenzie', 'Emma Amos']",,"Horror, Drama, Romance, Thriller",0,0,"In the summer of 1816, Percy Shelley, his mistress Mary, and her stepsister Claire visit Lord Byron at Lake Geneva. Byron challenges each to write a horror story, and Mary begins her novel, Frankenstein. She imagines the monster becoming real, and for the next six years, as tragedy befalls those around her, she believes the personification of her imagination is the cause. Against this backdrop, Claire has Byron's baby then is estranged from him and barred from her daughter. Byron and Percy continue their friendship, the one self-centered and decadent, the other wildly idealistic. The Shelleys take up residence near Pisa.",,1988,126,2.746,False,1988-09-19,Remando al viento,es,,5.5,23
Ultimatum,61224,https://www.youtube.com/watch?v=fOlIkeko6J0,Alain Tasma,"['Gaspard Ulliel', 'Michel Boujenah', 'Anna Galiena', 'Jasmine Trinca', 'Sarah Adler', 'Hana Laslo', 'Lior Ashkenazi', 'Alon Pdut', 'Tal Friedman', 'Moshe Ivgy', 'Ori Pfeffer', 'Moni Moshonov', 'Yotam Ishay']",,"Drama, Romance",0,0,A young French couple deals with ramifications of world events on their relationship as Saddam Hussein threatens to launch SCUD missiles on Israel.,,2009,102,1.4,False,2009-09-30,Ultimatum,fr,,3.3,3
Asa Nu Maan Watna Da,48529,,Manmohan Singh,"['Harbhajan Mann', 'Kirandeep Kimmi', 'Arshvir Bajwa', 'Kanwaljit Singh', 'Deep Dhillon', 'Gurpreet Ghuggi', 'Navneet Nishan', 'Neeru Bajwa', 'Kimi Verma', 'Deep Dhillon', 'Vivek Shauq']",,Family,0,0,"Calgary-based businessman Kanwaljit Singh Tilon sends money home to his brother, Deep, to invest in some property. Now with his wife; son, Mehr; and medical-student daughter, Aman; he returns home to Kapurthala to live with Deep for a year. They are very well received by Deep and his wife, Harbans, with Mehr and Aman both finding life partners in the outspoken Palli and Dr. Balvinder. Things change dramatically after Kanwaljit announces that he will not be returning to Canada, and will reside there permanently.",,2004,179,1.438,False,2004-05-07,ਅਸਾਂ ਨੂੰ ਮਾਣ ਵਤਨਾਂ ਦਾ,pa,,6.0,1
