Title,Id,Trailer Link,Director,Cast,genre_ids,Genre,Budget,Revenue,Overview,Homepage,Year,Runtime,Popularity,Adult,Release_Date,Original_Title,Original_Language,Tagline,Vote_Average,Vote_Count
Kodanda Ramudu,486276,,S.V. Krishna Reddy,"['J. D. Chakravarthi', 'Rambha', 'Laya', 'Brahmanandam', 'Ali Basha', 'Shivaji Raja', 'Kallu Chidambaram', 'M. S. Narayana', 'Amanchi Venkata Subrahmanyam']",,Drama,0,0,"Ramu, a tour guide, is deeply in love with Mounika, who does not believe in the concept of love. She pretends to be smitten by him and then humiliates him when he proposes marriage.",,2000,140,1.253,False,2000-01-01,కోదండ రాముడు,te,,6.0,1
Annayya,669840,,D. Rajendra Babu,"['V. Ravichandran', 'Madhoo', 'Aruna Irani', 'Srinath']",,,0,0,"The story of Annayya, who is the only child of a rich Landlord and had lost his mother at the time of his birth. Annayya's father can provide him anything he wants, but Annayya's only desire is to get a mother's love.",,1993,148,1.391,False,1993-03-22,ಅಣ್ಣಯ್ಯ,kn,,0.0,0
Postman,508096,,Mischa Rozema,[],,Animation,0,0,A dark and funny apocalyptic short film from PostPanic studios.,,2007,2,0.6,False,2007-02-27,Postman,en,,0.0,0
Vamsodharakudu,521440,,Sarath,"['Nandamuri Balakrishna', 'Krishnam Raju', 'Ramya Krishnan', 'Sakshi Shivananda', 'Charan Raj', 'Srihari', 'Brahmaji', 'Ravi Babu', 'Brahmanandam', 'Babu Mohan', 'M. S. Narayana', 'Chalapathi Rao', 'Giri Babu', 'Radhika Sarathkumar', 'Rama Prabha', 'Jayalalita', 'Varsha', 'Mamilla Shailaja Priya', 'Srilakshmi', 'Kalpana Rai', 'Y. Vijaya', 'Surya Bhagawan Das', 'Pithamagan Mahadevan']",,"Drama, Romance",0,0,"Suryam is a physical director in a local college and lives with his mother Varalakshmi, a widow. The college in which Suryam work belongs to an Industrialist called Sudarshan Rao.",,2000,153,1.095,False,2000-01-14,వంశోద్ధారకుడు,te,,0.0,0
Kalisundam Raa,81064,,Uday Shankar,"['Venkatesh', 'Simran', 'K. Viswanath', 'Brahmanandam', 'Ali Basha', 'Amanchi Venkata Subrahmanyam', 'M. S. Narayana', 'Ahuti Prasad', 'Ranganath', 'Rallapalli Narasimha', 'Prasad Babu', 'Achyuth', 'Gundu Hanumantha Rao', 'Annapoorna', 'Venniradai Nirmala', 'Srihari', 'Chitti Babu']",,"Family, Drama",0,0,"Raghaviah and Ram Mohan Rao are brothers-in-law. But Ram Mohan Rao is at loggerhead with Raghavaiah because of a family feud. Raghavaiah is nearing his 60's and it's time for his Shastipoorti ceremony. It's time for gathering, folks!",,2000,150,1.613,False,2000-01-14,కలిసుందాం రా,te,,6.5,4
Sammakka Sarakka,521449,,Dasari Narayana Rao,"['Suman Talwar', 'Ramya Krishnan', 'Roja Selvamani', 'Jaya Prada', 'Indraja', 'Brahmaji']",,Drama,0,0,"Movie director by Dasari Narayana Rao, with lead roles by Suman, Ramya Krishna & Roja.",,2000,0,2.187,False,2000-01-15,సమ్మక్క సారక్క,te,,0.0,0
Kshemanga Velli Labhamga Randi,267350,,Raja Vannem Reddy,"['Srikanth Meka', 'Brahmanandam', 'Rajendra Prasad', 'Roja Selvamani', 'Ramya Krishnan', 'Prakash Raj', 'Kovai Sarala']",,Comedy,0,0,Three mechanics in a car company are wayward husbands. Their weakness lies in drinking and spending half of their salary on the unnecessary items. Their wives have a tough time running their houses with the meager money provided by their men. Their world is turned upside down by a couple who move in next door.,,2000,172,1.606,False,2000-02-04,క్షేమంగా వెళ్ళి లాభంగా రండి,te,,6.7,5
Julie Ganapathi,257075,,Balu Mahendra,"['Saritha', 'Jayaram', 'Ramya Krishnan', 'Mohan Raman', 'Delhi Ganesh', 'Vatsala Rajagopal']",,Horror,0,0,"Tenkasi, the creator of a hit television show, finds himself in the house of Julie, a fan, after an accident. However, she reveals herself to be emotionally unstable and potentially dangerous.",,2003,141,2.611,False,2003-02-01,ஜூலி கணபதி,ta,,7.5,2
Hands Up,857980,https://www.youtube.com/watch?v=vn6QPzOeAdE,Chuck Whitman,"['LaRoyce Hawkins', 'Kris D. Lofton', 'Jamal Woolard', 'Jermaine Johnson', 'Chella Holcomb', 'Cheryl Frazier', 'Randall McDonald', 'Desmond Huey', 'Geramy Webster']",,"Drama, Crime",0,0,"After his cousin is shot and killed by a white police officer in Chicago and Black Lives Matter protests spread across the city, a black inner city teen desperately fights for a way out of the most notorious murder capital of America.",,2021,0,2.238,False,2021-09-03,Hands Up,en,There's always another way out.,5.9,4
Chala Bagundi,531011,,E.V.V. Satyanarayana,"['Srikanth Meka', 'Vadde Naveen']",,,0,0,"Vamsi is adopted after he saves Krishna's father from an accident. However, things turn bitter when he molests a lady a few years before she marries his stepbrother.",,2000,156,1.045,False,2000-02-18,Chala Bagundi,te,,2.0,1
